 city, time, temperature (C°), relative humidity (%), apparent temperature (C°), pressure (psi), precipitation (mm)
Berlin,2021-12-13T00:00,4.3,99,2.1,1023.2,0.01
Berlin,2021-12-13T01:00,4.6,99,2.4,1023.7,0.0
Berlin,2021-12-13T02:00,4.9,99,2.8,1023.7,0.0
Berlin,2021-12-13T03:00,4.9,100,2.9,1023.7,0.0
Berlin,2021-12-13T04:00,5.0,100,3.4,1024.2,0.0
Berlin,2021-12-13T05:00,5.0,100,3.0,1024.7,0.0
Berlin,2021-12-13T06:00,4.9,99,3.0,1024.2,0.0
Berlin,2021-12-13T07:00,5.1,99,3.2,1024.7,0.02
Berlin,2021-12-13T08:00,5.3,99,3.5,1025.2,0.01
Berlin,2021-12-13T09:00,5.3,100,3.6,1026.2,0.04
Berlin,2021-12-13T10:00,5.4,100,3.8,1025.7,0.0
Berlin,2021-12-13T11:00,5.6,100,4.0,1026.2,0.0
Berlin,2021-12-13T12:00,5.9,100,4.2,1025.7,0.0
Berlin,2021-12-13T13:00,6.4,100,4.8,1026.2,0.03
Berlin,2021-12-13T14:00,6.8,100,5.3,1026.2,0.03
Berlin,2021-12-13T15:00,7.1,100,5.5,1026.7,0.1
Berlin,2021-12-13T16:00,7.3,99,5.8,1026.7,0.0
Berlin,2021-12-13T17:00,7.4,99,5.9,1026.7,0.0
Berlin,2021-12-13T18:00,7.4,99,5.9,1026.7,0.0
Berlin,2021-12-13T19:00,7.2,98,5.6,1027.2,0.0
Berlin,2021-12-13T20:00,7.0,98,5.2,1027.2,0.0
Berlin,2021-12-13T21:00,6.9,96,5.1,1027.2,0.0
Berlin,2021-12-13T22:00,6.5,96,4.6,1027.2,0.0
Berlin,2021-12-13T23:00,6.1,96,4.3,1027.2,0.0
Berlin,2021-12-14T00:00,5.9,96,3.9,1027.2,0.0
Berlin,2021-12-14T01:00,5.8,95,3.8,1027.2,0.0
Berlin,2021-12-14T02:00,5.8,95,3.7,1026.7,0.0
Berlin,2021-12-14T03:00,5.5,95,3.4,1026.2,0.0
Berlin,2021-12-14T04:00,5.4,93,3.2,1025.7,0.0
Berlin,2021-12-14T05:00,5.2,93,3.0,1025.2,0.0
Berlin,2021-12-14T06:00,4.9,93,2.7,1025.2,0.0
Berlin,2021-12-14T07:00,5.0,93,2.6,1025.2,0.0
Berlin,2021-12-14T08:00,5.0,94,2.7,1025.7,0.0
Berlin,2021-12-14T09:00,5.3,93,2.9,1025.7,0.0
Berlin,2021-12-14T10:00,5.7,90,3.2,1025.7,0.0
Berlin,2021-12-14T11:00,6.1,88,3.6,1025.2,0.01
Berlin,2021-12-14T12:00,6.3,86,3.6,1024.7,0.0
Berlin,2021-12-14T13:00,6.6,85,3.9,1024.7,0.0
Berlin,2021-12-14T14:00,6.6,86,3.9,1024.7,0.0
Berlin,2021-12-14T15:00,6.5,87,3.8,1025.2,0.0
Berlin,2021-12-14T16:00,6.5,89,3.8,1025.2,0.0
Berlin,2021-12-14T17:00,6.4,91,4.0,1025.7,0.02
Berlin,2021-12-14T18:00,6.4,92,4.0,1026.2,0.0
Berlin,2021-12-14T19:00,6.4,94,4.2,1026.2,0.0
Berlin,2021-12-14T20:00,6.3,95,4.1,1027.2,0.0
Berlin,2021-12-14T21:00,6.2,96,4.3,1027.2,0.0
Berlin,2021-12-14T22:00,6.1,97,4.2,1027.7,0.0
Berlin,2021-12-14T23:00,6.0,98,4.0,1027.7,0.0
Berlin,2021-12-15T00:00,6.1,98,4.2,1027.7,0.0
Berlin,2021-12-15T01:00,6.2,97,4.2,1027.7,0.0
Berlin,2021-12-15T02:00,6.2,97,3.9,1028.2,0.0
Berlin,2021-12-15T03:00,6.4,97,4.2,1028.2,0.0
Berlin,2021-12-15T04:00,6.5,97,4.5,1028.2,0.0
Berlin,2021-12-15T05:00,6.4,97,4.5,1028.7,0.0
Berlin,2021-12-15T06:00,6.4,97,4.0,1028.7,0.0
Berlin,2021-12-15T07:00,6.5,97,4.3,1029.3,0.0
Berlin,2021-12-15T08:00,6.6,96,4.2,1029.3,0.0
Berlin,2021-12-15T09:00,6.9,94,4.6,1029.8,0.0
Berlin,2021-12-15T10:00,7.4,92,5.1,1029.9,0.0
Berlin,2021-12-15T11:00,8.0,89,5.6,1028.9,0.0
Berlin,2021-12-15T12:00,8.4,87,6.0,1028.9,0.0
Berlin,2021-12-15T13:00,8.6,86,6.3,1028.9,0.0
Berlin,2021-12-15T14:00,8.7,86,6.4,1028.9,0.0
Berlin,2021-12-15T15:00,8.4,88,6.2,1028.9,0.0
Berlin,2021-12-15T16:00,8.0,91,5.7,1028.9,0.0
Berlin,2021-12-15T17:00,7.9,91,5.5,1028.9,0.0
Berlin,2021-12-15T18:00,7.8,91,5.4,1028.9,0.0
Berlin,2021-12-15T19:00,7.8,91,5.4,1028.9,0.0
Berlin,2021-12-15T20:00,7.8,91,5.1,1029.9,0.0
Berlin,2021-12-15T21:00,7.7,89,5.0,1029.9,0.0
Berlin,2021-12-15T22:00,7.4,89,4.7,1029.9,0.0
Berlin,2021-12-15T23:00,6.9,89,4.2,1029.9,0.0
Berlin,2021-12-16T00:00,6.7,89,3.8,1029.9,0.0
Berlin,2021-12-16T01:00,6.7,89,3.6,1029.9,0.0
Berlin,2021-12-16T02:00,6.7,90,3.6,1029.9,0.0
Berlin,2021-12-16T03:00,6.8,89,3.6,1028.9,0.0
Berlin,2021-12-16T04:00,6.8,90,3.6,1028.9,0.02
Berlin,2021-12-16T05:00,6.7,92,3.6,1028.9,0.02
Berlin,2021-12-16T06:00,6.9,92,3.9,1029.9,0.0
Berlin,2021-12-16T07:00,7.0,93,4.2,1030.9,0.06
Berlin,2021-12-16T08:00,7.0,93,4.1,1030.9,0.0
Berlin,2021-12-16T09:00,7.1,93,4.3,1031.9,0.0
Berlin,2021-12-16T10:00,7.4,93,4.6,1031.9,0.0
Berlin,2021-12-16T11:00,7.9,92,5.0,1031.9,0.0
Berlin,2021-12-16T12:00,8.4,92,5.4,1031.9,0.0
Berlin,2021-12-16T13:00,8.5,90,5.6,1031.9,0.0
Berlin,2021-12-16T14:00,8.5,87,5.7,1032.9,0.0
Berlin,2021-12-16T15:00,8.2,85,5.4,1032.9,0.0
Berlin,2021-12-16T16:00,7.6,86,4.7,1032.9,0.0
Berlin,2021-12-16T17:00,6.7,87,3.7,1033.9,0.0
Berlin,2021-12-16T18:00,5.6,89,2.5,1033.9,0.0
Berlin,2021-12-16T19:00,5.0,90,1.8,1033.9,0.0
Berlin,2021-12-16T20:00,4.4,92,1.3,1033.9,0.0
Berlin,2021-12-16T21:00,3.9,94,0.7,1033.9,0.0
Berlin,2021-12-16T22:00,3.6,94,0.2,1033.9,0.0
Berlin,2021-12-16T23:00,3.4,95,-0.1,1033.9,0.0
Berlin,2021-12-17T00:00,3.2,95,-0.5,1033.9,0.0
Berlin,2021-12-17T01:00,3.0,96,-0.6,1033.9,0.0
Berlin,2021-12-17T02:00,2.9,97,-0.7,1033.9,0.0
Berlin,2021-12-17T03:00,2.8,97,-0.8,1033.9,0.0
Berlin,2021-12-17T04:00,2.9,97,-0.7,1033.9,0.0
Berlin,2021-12-17T05:00,3.1,97,-0.6,1033.9,0.0
Berlin,2021-12-17T06:00,3.3,96,-0.4,1032.9,0.0
Berlin,2021-12-17T07:00,3.5,94,-0.1,1032.9,0.0
Berlin,2021-12-17T08:00,3.7,92,0.2,1032.9,0.0
Berlin,2021-12-17T09:00,4.0,89,0.7,1032.9,0.0
Berlin,2021-12-17T10:00,4.4,85,1.0,1032.9,0.0
Berlin,2021-12-17T11:00,4.9,79,1.4,1032.9,0.0
Berlin,2021-12-17T12:00,5.4,75,1.7,1031.9,0.0
Berlin,2021-12-17T13:00,5.3,77,1.7,1031.9,0.0
Berlin,2021-12-17T14:00,5.0,80,1.7,1031.9,0.0
Berlin,2021-12-17T15:00,4.4,85,1.4,1031.9,0.0
Berlin,2021-12-17T16:00,3.9,88,1.0,1031.9,0.0
Berlin,2021-12-17T17:00,3.3,92,0.3,1031.9,0.0
Berlin,2021-12-17T18:00,2.5,95,-0.6,1031.9,0.0
Berlin,2021-12-17T19:00,2.0,95,-1.1,1030.9,0.0
Berlin,2021-12-17T20:00,1.6,95,-1.7,1030.9,0.0
Berlin,2021-12-17T21:00,1.2,95,-2.3,1030.9,0.0
Berlin,2021-12-17T22:00,1.0,96,-2.5,1030.9,0.0
Berlin,2021-12-17T23:00,0.8,97,-2.6,1030.9,0.0
Berlin,2021-12-18T00:00,0.7,97,-2.8,1030.9,0.0
Berlin,2021-12-18T01:00,0.7,97,-2.8,1031.9,0.0
Berlin,2021-12-18T02:00,0.7,96,-2.7,1031.9,0.0
Berlin,2021-12-18T03:00,0.7,94,-2.7,1031.9,0.0
Berlin,2021-12-18T04:00,0.7,94,-2.8,1032.9,0.0
Berlin,2021-12-18T05:00,0.7,94,-2.9,1032.9,0.0
Berlin,2021-12-18T06:00,0.7,95,-2.9,1033.9,0.0
