 city, time, temperature, relative humidity, apparent temperature, pressure, precipitation
Berlin,2021-11-07T00:00,8.2,76,4.5,1018.2,0.0
Berlin,2021-11-07T01:00,8.1,77,4.2,1017.2,0.0
Berlin,2021-11-07T02:00,7.9,79,4.1,1015.7,0.0
Berlin,2021-11-07T03:00,8.0,77,4.1,1013.7,0.1
Berlin,2021-11-07T04:00,8.1,77,4.3,1012.7,0.0
Berlin,2021-11-07T05:00,8.3,78,4.5,1012.2,0.5
Berlin,2021-11-07T06:00,8.4,77,4.3,1011.7,0.01
Berlin,2021-11-07T07:00,8.4,78,4.3,1010.6,0.02
Berlin,2021-11-07T08:00,8.5,80,4.8,1010.6,0.05
Berlin,2021-11-07T09:00,9.2,81,5.7,1010.1,0.02
Berlin,2021-11-07T10:00,10.0,77,6.0,1010.1,0.02
Berlin,2021-11-07T11:00,10.3,76,6.8,1010.1,0.04
Berlin,2021-11-07T12:00,9.3,84,6.5,1010.1,3.31
Berlin,2021-11-07T13:00,9.8,78,6.3,1009.1,0.11
Berlin,2021-11-07T14:00,9.7,79,6.6,1009.6,0.1
Berlin,2021-11-07T15:00,9.2,83,6.2,1010.1,0.24
Berlin,2021-11-07T16:00,8.9,82,5.8,1010.1,0.03
Berlin,2021-11-07T17:00,8.6,78,5.3,1010.1,0.01
Berlin,2021-11-07T18:00,8.4,79,4.9,1010.1,0.0
Berlin,2021-11-07T19:00,8.3,79,4.5,1010.6,0.0
Berlin,2021-11-07T20:00,8.2,81,4.6,1011.1,0.06
Berlin,2021-11-07T21:00,8.1,81,4.5,1011.1,0.0
Berlin,2021-11-07T22:00,8.1,83,4.5,1011.7,0.12
Berlin,2021-11-07T23:00,7.9,87,4.2,1011.1,2.13
Berlin,2021-11-08T00:00,7.8,88,4.1,1011.7,1.32
Berlin,2021-11-08T01:00,8.0,87,4.4,1012.7,0.0
Berlin,2021-11-08T02:00,8.1,87,4.7,1013.2,0.0
Berlin,2021-11-08T03:00,8.2,88,5.2,1013.7,0.0
Berlin,2021-11-08T04:00,8.2,89,5.4,1014.2,0.0
Berlin,2021-11-08T05:00,8.2,89,5.4,1014.7,0.0
Berlin,2021-11-08T06:00,8.1,89,5.6,1015.7,0.0
Berlin,2021-11-08T07:00,8.1,91,5.5,1016.7,0.6
Berlin,2021-11-08T08:00,8.2,90,5.4,1017.7,0.02
Berlin,2021-11-08T09:00,8.7,87,5.4,1018.2,0.0
Berlin,2021-11-08T10:00,9.1,84,6.3,1018.7,0.0
Berlin,2021-11-08T11:00,9.5,82,6.8,1019.2,0.1
Berlin,2021-11-08T12:00,10.0,79,7.3,1019.7,0.0
Berlin,2021-11-08T13:00,10.3,76,7.3,1019.7,0.0
Berlin,2021-11-08T14:00,10.2,74,7.6,1019.7,0.0
Berlin,2021-11-08T15:00,9.9,73,7.3,1020.2,0.0
Berlin,2021-11-08T16:00,9.4,77,7.1,1020.7,0.02
Berlin,2021-11-08T17:00,9.1,81,7.2,1021.2,0.14
Berlin,2021-11-08T18:00,8.9,84,7.1,1021.7,0.04
Berlin,2021-11-08T19:00,8.6,86,6.6,1021.7,0.03
Berlin,2021-11-08T20:00,8.5,88,6.5,1022.7,0.01
Berlin,2021-11-08T21:00,8.3,90,6.6,1022.7,0.0
Berlin,2021-11-08T22:00,8.2,91,6.6,1023.2,0.0
Berlin,2021-11-08T23:00,8.1,92,6.7,1023.7,0.0
Berlin,2021-11-09T00:00,7.8,94,6.6,1024.2,0.0
Berlin,2021-11-09T01:00,7.6,96,6.5,1024.7,0.0
Berlin,2021-11-09T02:00,7.4,97,6.1,1024.7,0.0
Berlin,2021-11-09T03:00,7.2,97,6.0,1025.2,0.0
Berlin,2021-11-09T04:00,6.9,98,5.6,1025.7,0.0
Berlin,2021-11-09T05:00,7.1,98,5.8,1025.7,0.0
Berlin,2021-11-09T06:00,7.4,97,5.9,1026.2,0.0
Berlin,2021-11-09T07:00,7.7,96,6.2,1027.2,0.0
Berlin,2021-11-09T08:00,8.0,93,6.3,1027.7,0.0
Berlin,2021-11-09T09:00,8.7,89,6.8,1028.7,0.0
Berlin,2021-11-09T10:00,9.6,83,7.6,1028.7,0.0
Berlin,2021-11-09T11:00,10.4,77,8.1,1028.7,0.0
Berlin,2021-11-09T12:00,10.7,73,8.3,1028.7,0.0
Berlin,2021-11-09T13:00,11.3,67,9.2,1028.4,0.0
Berlin,2021-11-09T14:00,11.3,67,9.2,1028.4,0.0
Berlin,2021-11-09T15:00,10.6,74,8.6,1028.4,0.0
Berlin,2021-11-09T16:00,9.4,82,7.8,1028.4,0.0
Berlin,2021-11-09T17:00,8.4,87,6.5,1028.4,0.0
Berlin,2021-11-09T18:00,7.6,90,5.7,1028.4,0.0
Berlin,2021-11-09T19:00,7.1,90,5.0,1028.4,0.0
Berlin,2021-11-09T20:00,6.6,91,4.5,1028.4,0.0
Berlin,2021-11-09T21:00,6.1,89,3.9,1027.9,0.0
Berlin,2021-11-09T22:00,5.6,88,3.1,1027.9,0.0
Berlin,2021-11-09T23:00,5.1,87,2.5,1027.9,0.0
Berlin,2021-11-10T00:00,4.6,87,2.1,1027.4,0.0
Berlin,2021-11-10T01:00,4.2,88,1.6,1026.9,0.0
Berlin,2021-11-10T02:00,4.0,89,1.3,1026.4,0.0
Berlin,2021-11-10T03:00,3.8,89,1.1,1025.4,0.0
Berlin,2021-11-10T04:00,3.7,89,1.0,1025.4,0.0
Berlin,2021-11-10T05:00,3.5,90,0.9,1025.4,0.0
Berlin,2021-11-10T06:00,3.2,91,0.6,1025.4,0.0
Berlin,2021-11-10T07:00,3.0,92,0.5,1025.4,0.0
Berlin,2021-11-10T08:00,3.6,89,1.2,1025.4,0.0
Berlin,2021-11-10T09:00,4.8,83,2.4,1025.9,0.0
Berlin,2021-11-10T10:00,6.2,77,3.7,1025.4,0.0
Berlin,2021-11-10T11:00,7.4,73,5.0,1025.4,0.0
Berlin,2021-11-10T12:00,8.3,71,6.1,1024.9,0.0
Berlin,2021-11-10T13:00,8.9,69,6.7,1024.4,0.0
Berlin,2021-11-10T14:00,9.0,71,6.7,1024.4,0.0
Berlin,2021-11-10T15:00,8.3,77,6.5,1024.9,0.0
Berlin,2021-11-10T16:00,7.2,84,5.3,1024.9,0.0
Berlin,2021-11-10T17:00,6.2,90,4.3,1025.4,0.0
Berlin,2021-11-10T18:00,5.5,91,3.6,1025.4,0.0
Berlin,2021-11-10T19:00,5.0,93,3.0,1025.4,0.0
Berlin,2021-11-10T20:00,4.5,93,2.4,1025.9,0.0
Berlin,2021-11-10T21:00,4.0,94,1.8,1025.9,0.0
Berlin,2021-11-10T22:00,3.6,94,1.4,1025.9,0.0
Berlin,2021-11-10T23:00,3.3,94,1.1,1025.9,0.0
Berlin,2021-11-11T00:00,3.0,94,0.7,1025.9,0.0
Berlin,2021-11-11T01:00,2.7,94,0.3,1025.9,0.0
Berlin,2021-11-11T02:00,2.4,94,-0.1,1025.9,0.0
Berlin,2021-11-11T03:00,2.0,95,-0.5,1025.9,0.0
Berlin,2021-11-11T04:00,1.6,97,-0.9,1025.9,0.0
Berlin,2021-11-11T05:00,1.2,99,-1.2,1025.9,0.0
Berlin,2021-11-11T06:00,1.1,100,-1.4,1026.4,0.0
Berlin,2021-11-11T07:00,1.4,98,-1.1,1026.4,0.0
Berlin,2021-11-11T08:00,2.1,95,-0.6,1026.4,0.0
Berlin,2021-11-11T09:00,3.3,89,0.5,1026.9,0.0
Berlin,2021-11-11T10:00,4.7,84,2.1,1026.4,0.0
Berlin,2021-11-11T11:00,6.5,77,4.0,1026.4,0.0
Berlin,2021-11-11T12:00,8.2,72,5.9,1025.9,0.0
Berlin,2021-11-11T13:00,8.7,72,6.5,1025.9,0.0
Berlin,2021-11-11T14:00,8.8,75,6.6,1025.4,0.0
Berlin,2021-11-11T15:00,8.4,79,6.4,1025.4,0.0
Berlin,2021-11-11T16:00,7.8,82,5.8,1025.4,0.0
Berlin,2021-11-11T17:00,6.9,85,4.9,1025.9,0.0
Berlin,2021-11-11T18:00,6.0,88,3.9,1025.9,0.0
Berlin,2021-11-11T19:00,5.9,87,3.7,1025.9,0.0
Berlin,2021-11-11T20:00,6.0,86,3.7,1025.9,0.0
Berlin,2021-11-11T21:00,6.1,85,3.9,1025.9,0.0
Berlin,2021-11-11T22:00,6.1,86,3.9,1025.9,0.0
Berlin,2021-11-11T23:00,6.2,87,4.0,1025.9,0.0
Berlin,2021-11-12T00:00,6.3,89,4.2,1025.4,0.0
Berlin,2021-11-12T01:00,6.5,89,4.4,1025.4,0.0
Berlin,2021-11-12T02:00,6.7,90,4.7,1025.4,0.0
Berlin,2021-11-12T03:00,6.9,90,5.0,1025.4,0.0
Berlin,2021-11-12T04:00,7.0,91,5.2,1025.4,0.01
Berlin,2021-11-12T05:00,7.1,91,5.3,1025.4,0.01
Berlin,2021-11-12T06:00,7.2,92,5.6,1025.4,0.01
Berlin,2021-11-12T07:00,7.3,93,5.8,1025.4,0.07
Berlin,2021-11-12T08:00,7.5,93,6.1,1025.4,0.07
Berlin,2021-11-12T09:00,7.9,93,6.6,1025.4,0.07
Berlin,2021-11-12T10:00,8.5,92,7.2,1025.4,0.0
Berlin,2021-11-12T11:00,9.2,89,7.9,1024.9,0.0
Berlin,2021-11-12T12:00,9.9,87,8.6,1024.9,0.0
Berlin,2021-11-12T13:00,10.5,84,9.3,1024.7,0.0
Berlin,2021-11-12T14:00,10.4,85,9.3,1024.7,0.0
Berlin,2021-11-12T15:00,10.0,88,9.0,1024.2,0.0
Berlin,2021-11-12T16:00,9.5,91,8.3,1024.2,0.0
Berlin,2021-11-12T17:00,8.7,94,7.4,1024.2,0.0
Berlin,2021-11-12T18:00,7.9,97,6.3,1024.2,0.0
Berlin,2021-11-12T19:00,7.7,97,6.0,1024.2,0.0
Berlin,2021-11-12T20:00,7.6,96,5.8,1024.2,0.0
Berlin,2021-11-12T21:00,7.5,95,5.7,1024.2,0.0
Berlin,2021-11-12T22:00,7.4,94,5.5,1023.7,0.03
Berlin,2021-11-12T23:00,7.3,93,5.4,1023.2,0.03
Berlin,2021-11-13T00:00,7.3,93,5.3,1022.7,0.03
Berlin,2021-11-13T01:00,7.4,92,5.3,1022.2,0.01
Berlin,2021-11-13T02:00,7.6,91,5.5,1021.7,0.01
Berlin,2021-11-13T03:00,7.9,91,5.7,1020.7,0.01
Berlin,2021-11-13T04:00,8.3,90,6.0,1020.2,0.0
Berlin,2021-11-13T05:00,8.6,89,6.2,1019.7,0.0
Berlin,2021-11-13T06:00,9.1,89,6.6,1018.7,0.0
Berlin,2021-11-13T07:00,9.5,89,7.1,1018.7,0.01
Berlin,2021-11-13T08:00,10.0,91,7.5,1018.7,0.01
Berlin,2021-11-13T09:00,10.5,91,8.1,1018.2,0.01
Berlin,2021-11-13T10:00,10.9,89,8.4,1017.7,0.01
Berlin,2021-11-13T11:00,11.3,86,8.7,1017.7,0.01
